Sample period = 16.66667ns
Input period (ns), Input frequency, Output magnitude, Output magnitude (db)
0.000000, 0.000000*Fs, 1.138210, 1.124447
666.666667, 0.025000*Fs, 0.865392, -1.255738
333.333333, 0.050000*Fs, 1.081598, 0.681315
222.222222, 0.075000*Fs, 0.972037, -0.246342
166.666667, 0.100000*Fs, 0.863028, -1.279499
158.730159, 0.105000*Fs, 0.316190, -10.001047
151.515152, 0.110000*Fs, 0.042243, -27.484958
144.927536, 0.115000*Fs, 0.001437, -56.850268
133.333333, 0.125000*Fs, 0.001496, -56.501632
111.111111, 0.150000*Fs, 0.001677, -55.510159
95.238095, 0.175000*Fs, 0.001386, -57.166400
83.333333, 0.200000*Fs, 0.001074, -59.377917
55.555556, 0.300000*Fs, 0.000822, -61.704963
41.666667, 0.400000*Fs, 0.000626, -64.071077
