Sample period = 25.00000ns
Input period (ns), Input frequency, Output magnitude, Output magnitude (db)
0.000000, 0.000000*Fs, 1.136379, 1.110463
1000.000000, 0.025000*Fs, 0.864434, -1.265367
500.000000, 0.050000*Fs, 1.082395, 0.687718
333.333333, 0.075000*Fs, 0.973729, -0.231242
250.000000, 0.100000*Fs, 0.863554, -1.274206
238.095238, 0.105000*Fs, 0.316997, -9.978903
227.272727, 0.110000*Fs, 0.040634, -27.822300
217.391304, 0.115000*Fs, 0.000237, -72.497487
200.000000, 0.125000*Fs, 0.000039, -88.078058
166.666667, 0.150000*Fs, 0.000224, -72.982956
142.857143, 0.175000*Fs, 0.000116, -78.692244
125.000000, 0.200000*Fs, 0.000123, -78.205729
83.333333, 0.300000*Fs, 0.000009, -100.811220
62.500000, 0.400000*Fs, 0.000007, -103.285163
